Name,a,b,c,d,e,f,Position,Country,Logo
Adelaide Thunderbirds,71.43,87.50,85.71,42.86,83.33,100.00,1.00,Australia,img/AdelaideThunderbirds.png
Melbourne Vixens,66.67,100.00,50.00,66.67,62.50,62.50,2.00,Australia,img/MelbourneVixens.png
New South Wales Swifts,87.50,33.33,77.78,57.14,85.71,50.00,3.00,Australia,img/NSWSwift.jpg
Queensland Firebirds,85.71,66.67,71.43,100.00,71.43,50.00,4.00,Australia,img/QueenslandFirebirds.jpg
West Coast Fever,20.00,42.86,50.00,14.29,33.33,57.14,5.00,Australia,img/WCFever.png
Canterbury Tactix,40.00,57.14,16.67,14.29,16.67,14.29,6.00,New Zealand,img/CanterburyTactix.jpg
Central Pulse,0.00,14.29,16.67,28.57,50.00,85.71,7.00,New Zealand,img/CentralPulse.png
Northern Mystics,37.50,33.33,57.14,66.67,62.50,16.67,8.00,New Zealand,img/NorthernMystics.jpg
Southern Steel,71.43,83.33,71.43,50.00,14.29,66.67,9.00,New Zealand,img/SouthernSteel.jpg
Waikato Bay of Plenty Magic,88.89,83.33,87.50,57.14,87.50,85.71,10.00,New Zealand,img/WBPMagic.png